SubModuleID;Ess_groupe;ParameterEstimate;Variable;Qualite;ClassVal0;ClassVal1;DF
3;ERS;-0.328689325;type_pe;NA;type1;NA;1
3;ERS;0;type_pe;NA;type2;NA;0
3;ERS;-0.735578939;tr;NA;NA;NA;1
3;ERS;0.122198157;rid2;NA;2o;NA;1
3;ERS;-0.375175061;rid2;NA;3a;NA;1
3;ERS;-0.560170974;rid2;NA;3b;NA;1
3;ERS;-0.018229732;rid2;NA;3c;NA;1
3;ERS;0;rid2;NA;3d;NA;1
3;ERS;-0.424004431;rid2;NA;4e;NA;1
3;ERS;0.148280738;rid2;NA;4o;NA;1
3;ERS;0.324842631;rid2;NA;DU;NA;1
3;ERS;0;rid2;NA;SV;NA;0
3;ERS;1.983595106;vigu0*prod0;NA;NVIG;PATE;1
3;ERS;0;vigu0*prod0;NA;NVIG;RES;NA
3;ERS;0.517903667;vigu0*prod0;NA;NVIG;SCI;1
3;ERS;0.944594202;vigu0*prod0;NA;VIG;PATE;1
3;ERS;0;vigu0*prod0;NA;VIG;RES;NA
3;ERS;0;vigu0*prod0;NA;VIG;SCI;0
1;FEN;-5.677795988;Intercept;NA;NA;NA;1
1;FEN;-4.947313413;abcd0;C;C;NA;1
1;FEN;0;abcd0;D;D;NA;0
1;FEN;0.014745811;dens_tot0;NA;NA;NA;1
2;FEN;2.841714359;Intercept;NA;D;NA;1
2;FEN;6.385208518;Intercept;NA;C;NA;1
2;FEN;-9.067199632;abcd0;B;B;NA;1
2;FEN;-4.987569103;abcd0;C;C;NA;1
2;FEN;0;abcd0;D;D;NA;0
2;FEN;-1.137790837;tr;NA;NA;NA;1
3;FEN;2.841714359;Intercept;NA;D;NA;1
3;FEN;6.385208518;Intercept;NA;C;NA;1
3;FEN;-9.067199632;abcd0;B;B;NA;1
3;FEN;-4.987569103;abcd0;C;C;NA;1
3;FEN;0;abcd0;D;D;NA;0
3;FEN;-1.137790837;tr;NA;NA;NA;1
1;HEG;3.002591979;Intercept;NA;NA;NA;1
1;HEG;-3.669751043;abcd0;C;C;NA;1
1;HEG;0;abcd0;D;D;NA;0
1;HEG;-2.148699451;type_pe;NA;type0;NA;1
1;HEG;-1.187570081;type_pe;NA;type1;NA;1
1;HEG;0;type_pe;NA;type2;NA;0
1;HEG;-3.400688934;aam;NA;NA;NA;1
1;HEG;2.241999435;vigu0*prod0;NA;NVIG;PATE;1
1;HEG;0;vigu0*prod0;NA;NVIG;RES;NA
1;HEG;1.386234895;vigu0*prod0;NA;NVIG;SCI;1
1;HEG;1.752666209;vigu0*prod0;NA;VIG;PATE;1
1;HEG;0;vigu0*prod0;NA;VIG;RES;NA
1;HEG;0;vigu0*prod0;NA;VIG;SCI;0
2;HEG;-3.072636387;Intercept;NA;D;NA;1
2;HEG;2.400220899;Intercept;NA;C;NA;1
2;HEG;-8.495173637;abcd0;B;B;NA;1
2;HEG;-4.404843558;abcd0;C;C;NA;1
2;HEG;0;abcd0;D;D;NA;0
2;HEG;-2.742472258;type_pe;NA;type0;NA;1
2;HEG;-1.774487907;type_pe;NA;type1;NA;1
2;HEG;0;type_pe;NA;type2;NA;0
2;HEG;0.007502304;prec;NA;NA;NA;1
2;HEG;2.294470877;vigu0*prod0;NA;NVIG;PATE;1
2;HEG;0;NA;NA;NVIG;RES;NA
2;HEG;1.193726624;vigu0*prod0;NA;NVIG;SCI;1
2;HEG;1.693601035;vigu0*prod0;NA;VIG;PATE;1
2;HEG;0;NA;NA;VIG;RES;NA
2;HEG;0;vigu0*prod0;NA;VIG;SCI;0
2;HEG;-5.236468327;aam;NA;NA;NA;1
3;HEG;-1.34645026;Intercept;NA;D;NA;1
3;HEG;2.330687599;Intercept;NA;C;NA;1
3;HEG;4.550322104;Intercept;NA;B;NA;1
3;HEG;-2.390312474;abcd0;A;A;NA;1
3;HEG;-4.38557085;abcd0;B;B;NA;1
3;HEG;-3.434709374;abcd0;C;C;NA;1
3;HEG;0;abcd0;D;D;NA;0
3;HEG;-2.910364825;type_pe;NA;type0;NA;1
3;HEG;-3.116779788;type_pe;NA;type1;NA;1
3;HEG;0;type_pe;NA;type2;NA;0
3;HEG;0.004955267;prec;NA;NA;NA;1
3;HEG;2.200925374;vigu0*prod0;NA;NVIG;PATE;1
3;HEG;0;NA;NA;NVIG;RES;NA
3;HEG;1.783053869;vigu0*prod0;NA;NVIG;SCI;1
3;HEG;0.909746372;vigu0*prod0;NA;VIG;PATE;1
3;HEG;0;NA;NA;VIG;RES;NA
3;HEG;0;vigu0*prod0;NA;VIG;SCI;0
