SubModuleID;ParameterEstimate;Effect;Ess_groupe;response;...6;...7
15;-1.14212;log(SapSpecies_DBH68DensityT0 + 1);NA;pi;NA;NA
15;-0.2229;BA_Species_Ha_BOJ;NA;pi;NA;NA
15;0.31666;log(Den_Species_Ha_BOJ + 1);NA;pi;NA;NA
15;-0.04744;I(dummy_traitement * TimeSinceLastTreatment);NA;pi;NA;NA
15;-0.00434;altitude;NA;pi;NA;NA
16;3.5191;Intercept;NA;count;NA;NA
16;0.6626;log(SapSpecies_TotDensityT1 + 1);NA;count;NA;NA
16;0.1835;log(SapSpecies_DBH68DensityT0 + 1);NA;count;NA;NA
16;-0.627;log(DenTot_Ha);NA;count;NA;NA
16;0.1586;BA_Species_Ha_SAB;NA;count;NA;NA
16;0.0134;I(dummy_traitement * TimeSinceLastTreatment);NA;count;NA;NA
16;-1.2963;log(TotDen_Sap_T1);NA;pi;NA;NA
16;-2.6113;log(SapSpecies_TotDensityT1 + 1);NA;pi;NA;NA
16;-1.335;log(SapSpecies_DBH68DensityT0 + 1);NA;pi;NA;NA
16;2.9779;log(DenTot_Ha);NA;pi;NA;NA
