SubModuleID;ParameterEstimate
10;0.0250874038202175
10;-7.54217576343693e-4
10;3.79037416225976e-5
10;0.0106502702247965
10;4.62497616681673e-5
10;0.254805888944129
10;-1.70783953629854e-4
10;-2.85717988360844e-5
10;-5.54230390759199e-4
10;0.0545584899288357
10;-0.00354078005458311
10;-3.1652231029581e-5
10;-0.0270664374383882
10;2.98975879493691e-4
10;0.00455722519638404
10;-3.46097895751093e-4
10;4.22913711278237e-6
10;-4.41528929876944e-4
10;4.39115902150458e-5
10;1.07927982170935e-4
10;0.00397866904568134
10;-0.00115515336550846
10;-1.19674824443106e-5
10;-0.0018767896322587
10;-8.92319397005593e-5
10;6.3338016735189e-4
10;1.21723296524292e-4
10;0.00999621765852246
10;-0.00128843652069399
10;-1.59331489973838e-5
10;-0.00218367893146263
10;1.16931992054168e-4
10;7.32967018090687e-4
10;3.68278924230158e-5
10;4.1397213949911e-4
10;0.00290831872778895
10;-0.00149220112015312
10;-9.12798890798134e-6
10;-0.00224965895698571
10;-0.00993864967436416
10;7.78373227828797e-4
10;5.53532158904021e-5
10;3.10797144391709e-4
10;2.88450561159046e-4
10;0.00380576635775399
10;-0.00121938118085808
10;-2.60125948383478e-5
10;-0.00209855209365872
10;5.31058868242554e-5
10;7.76869106526247e-4
10;-7.19597586147948e-5
10;3.32591022398007e-4
10;3.9142520244588e-4
10;3.3417886352887e-4
10;0.00594064145401145
10;-0.00148188209111411
10;-2.5667878682287e-5
10;-0.00239059214373691
10;1.60063200049995e-4
10;8.80195674113545e-4
10;4.65545451884e-5
10;2.97798968090751e-4
10;3.46386597837375e-4
10;3.60598516713032e-4
10;3.83798877071735e-4
10;4.90991449498266e-4
10;-0.00147334982976127
10;-1.86580206924077e-5
10;-0.00226739196967845
10;1.50611550448942e-4
10;8.15201232815309e-4
10;4.33866132598803e-5
10;2.70667094846107e-4
10;3.17498848733183e-4
10;3.26683811118919e-4
10;3.40392812024523e-4
10;3.90240512180893e-4
10;4.10072800902367e-4
10;-0.00189664999108427
10;-2.02446912255203e-5
10;-0.0027925340465847
10;1.76120697286908e-4
10;0.0010192594776335
10;5.75583671271808e-5
10;3.44200892643528e-4
10;4.18506297903096e-4
10;4.07917335438579e-4
10;4.21178082202655e-4
10;4.83027868805391e-4
10;4.52804448382735e-4
10;7.36420533070668e-4
10;-0.001261502520926
10;-4.26733644493557e-5
10;-0.00240402678128845
10;1.89926544974855e-4
10;9.34987571275734e-4
10;-0.00318014302121818
10;2.81042127323726e-4
10;3.84969606132159e-4
10;3.56805224229369e-4
10;5.29269437146918e-4
10;4.66923833121305e-4
10;4.23576489043356e-4
10;5.26103287292258e-4
10;0.00355155844230716
10;2.67817582806457e-4
10;3.59923195648773e-6
10;3.22814539805026e-4
10;-8.72402032856081e-5
10;-1.36999573758619e-4
10;7.62031814990605e-6
10;-3.03106176670689e-6
10;-9.45659282575563e-5
10;-4.02808747298644e-5
10;-1.16489377704913e-4
10;-8.6316855315916e-5
10;-6.6815499400513e-5
10;-7.93334980068027e-5
10;-9.40752268500088e-5
10;1.12670635074219e-4
10;-1.42761790571701e-4
10;2.04319454803558e-5
10;9.49744749869902e-5
10;-1.65100928832204e-4
10;-1.27969762608331e-4
10;-3.90465483005381e-5
10;1.78630673124306e-4
10;2.23530263731213e-4
10;2.96830749994088e-6
10;9.69319962217697e-5
10;-7.62069996106806e-6
10;-5.40816815402963e-5
10;-7.58696778787641e-5
10;-4.3807097007758e-5
10;-2.79534948360106e-4
10;0.00168159556108682
10;-0.0022405880777904
10;-2.97258272934298e-5
10;-0.0024508313666312
10;0.00117825011566367
10;0.00175657393935249
10;-3.05987057922648e-5
10;-4.0808500449985e-4
10;4.43287469939075e-4
10;2.66680778047128e-4
10;7.38134455447248e-4
10;6.56036033724705e-4
10;5.60373634905732e-4
10;6.84285703248617e-4
10;7.35757384099758e-4
10;-5.31691215617041e-4
10;1.30557972580856e-4
10;0.0111062446079446
10;1.00126489382814e-4
10;-9.41638189661321e-6
10;0.00118051329916172
10;4.49291976752991e-4
