VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;2;-5.88484e-4;FC1;dhpcm*dhpcm;;NA;NA;;;;;;NA;
1;2;-0.3182213;FC1;essgroup;AUT;NA;NA;;;;;;NA;
1;2;-0.790223467;FC1;essgroup;BOJ;NA;NA;;;;;;NA;
1;2;-2.093391465;FC1;essgroup;EPX;NA;NA;;;;;;NA;
1;2;-0.819781272;FC1;essgroup;ERR;NA;NA;;;;;;NA;
1;2;-1.336032405;FC1;essgroup;ERS;NA;NA;;;;;;NA;
1;2;-1.244421821;FC1;essgroup;FEN;NA;NA;;;;;;NA;
1;2;-2.067091352;FC1;essgroup;FIN;NA;NA;;;;;;NA;
1;2;-0.208761689;FC1;essgroup;HEG;NA;NA;;;;;;NA;
1;2;-0.979916287;FC1;essgroup;RES;NA;NA;;;;;;NA;
1;2;0;FC1;essgroup;SAB;NA;NA;;;;;;NA;
1;2;-0.103053942;FC1;dhp0*essgroup;AUT;NA;NA;;;;;;NA;
1;2;-0.017100379;FC1;dhp0*essgroup;BOJ;NA;NA;;;;;;NA;
1;2;0.017051562;FC1;dhp0*essgroup;EPX;NA;NA;;;;;;NA;
1;2;-0.019585655;FC1;dhp0*essgroup;ERR;NA;NA;;;;;;NA;
1;2;-0.017065066;FC1;dhp0*essgroup;ERS;NA;NA;;;;;;NA;
1;2;0.003879557;FC1;dhp0*essgroup;FEN;NA;NA;;;;;;NA;
1;2;0.003314372;FC1;dhp0*essgroup;FIN;NA;NA;;;;;;NA;
1;2;-0.021525136;FC1;dhp0*essgroup;HEG;NA;NA;;;;;;NA;
1;2;0.018607645;FC1;dhp0*essgroup;RES;NA;NA;;;;;;NA;
1;2;0;;dhp0*essgroup;SAB;NA;NA;;;;;;NA;
1;2;-0.234092813;;vigu0;;NA;NA;NONVIG;;;;;NA;
1;2;0;FC1;vigu0;;NA;NA;ViG;;;;;NA;
1;2;-0.143030146;FC1;prod0;;NA;NA;;pate;;;;NA;
1;2;0;FC1;prod0;;NA;NA;;resineux;;;;NA;
1;2;0;FC1;prod0;;NA;NA;;sciage;;;;NA;
1;2;-0.064713216;FC1;st_tot0;;NA;NA;;;;;;NA;
1;2;1.626769014;FC1;logdt_aj;;NA;NA;;;;;;NA;
1;2;-0.150953229;FC1;fact_red;;NA;NA;;;;;;NA;
1;2;-0.291796107;FC1;ntrt;;NA;NA;;;;;;0;
1;2;-0.146476866;FC1;ntrt;;NA;NA;;;;;;1;
1;2;0;FC1;ntrt;;NA;NA;;;;;;2;
1;2;-0.262317337;FC1;type_pe;;NA;NA;;;type0;;;NA;
1;2;-0.678468007;FC1;type_pe;;NA;NA;;;type1;;;NA;
1;2;0;FC1;type_pe;;NA;NA;;;type2;;;NA;
1;2;0.341487836;FC1;essgroup*type_pe;AUT;NA;NA;;;type0;;;NA;
1;2;0.616138972;FC1;essgroup*type_pe;AUT;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;AUT;NA;NA;;;type2;;;NA;
1;2;0.23369749;FC1;essgroup*type_pe;BOJ;NA;NA;;;type0;;;NA;
1;2;0.890148921;FC1;essgroup*type_pe;BOJ;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;BOJ;NA;NA;;;type2;;;NA;
1;2;1.0014955;FC1;essgroup*type_pe;EPX;NA;NA;;;type0;;;NA;
1;2;1.033596426;FC1;essgroup*type_pe;EPX;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;EPX;NA;NA;;;type2;;;NA;
1;2;0.497488714;FC1;essgroup*type_pe;ERR;NA;NA;;;type0;;;NA;
1;2;0.92123387;FC1;essgroup*type_pe;ERR;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;ERR;NA;NA;;;type2;;;NA;
1;2;0.633429645;FC1;essgroup*type_pe;ERS;NA;NA;;;type0;;;NA;
1;2;0.878949024;FC1;essgroup*type_pe;ERS;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;ERS;NA;NA;;;type2;;;NA;
1;2;0.965726204;FC1;essgroup*type_pe;FEN;NA;NA;;;type0;;;NA;
1;2;0.850757277;FC1;essgroup*type_pe;FEN;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;FEN;NA;NA;;;type2;;;NA;
1;2;0.283242014;FC1;essgroup*type_pe;FIN;NA;NA;;;type0;;;NA;
1;2;1.307315621;FC1;essgroup*type_pe;FIN;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;FIN;NA;NA;;;type2;;;NA;
1;2;0.426636667;FC1;essgroup*type_pe;HEG;NA;NA;;;type0;;;NA;
1;2;0.543248578;FC1;essgroup*type_pe;HEG;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;HEG;NA;NA;;;type2;;;NA;
1;2;-0.00101155;FC1;essgroup*type_pe;RES;NA;NA;;;type0;;;NA;
1;2;0;FC1;essgroup*type_pe;RES;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;RES;NA;NA;;;type2;;;NA;
1;2;0;FC1;essgroup*type_pe;SAB;NA;NA;;;type0;;;NA;
1;2;0;FC1;essgroup*type_pe;SAB;NA;NA;;;type1;;;NA;
1;2;0;FC1;essgroup*type_pe;SAB;NA;NA;;;type2;;;NA;
1;3;4.571881029;FC1;Intercept;;NA;NA;;;;;;NA;
1;3;-4.757439652;FC1;vigu0*prod0;;NA;NA;NVIG;PATE;;;;NA;
1;3;-4.62946378;FC1;vigu0*prod0;;NA;NA;NVIG;RES;;;;NA;
1;3;-4.394273409;FC1;vigu0*prod0;;NA;NA;NVIG;SCI;;;;NA;
1;3;-0.678502015;FC1;vigu0*prod0;;NA;NA;VIG;PATE;;;;NA;
1;3;0.647972008;FC1;vigu0*prod0;;NA;NA;VIG;RES;;;;NA;
1;3;0;FC1;vigu0*prod0;;NA;NA;VIG;SCI;;;;NA;
1;3;-3.004330171;FC1;essgroup;AUT;NA;NA;;;;;;NA;
1;3;-2.155879867;FC1;essgroup;BOJ;NA;NA;;;;;;NA;
1;3;-3.495516093;FC1;essgroup;EPX;NA;NA;;;;;;NA;
1;3;-2.191457123;FC1;essgroup;ERR;NA;NA;;;;;;NA;
1;3;-2.738846038;FC1;essgroup;ERS;NA;NA;;;;;;NA;
1;3;-3.234471097;FC1;essgroup;FEN;NA;NA;;;;;;NA;
1;3;-0.441075912;FC1;essgroup;FIN;NA;NA;;;;;;NA;
1;3;0;FC1;essgroup;HEG;NA;NA;;;;;;NA;
1;3;-4.465099631;FC1;essgroup;RES;NA;NA;;;;;;NA;
1;3;0;FC1;essgroup;SAB;NA;NA;;;;;;NA;
1;3;-0.03102243;FC1;dhp0;;NA;NA;;;;;;NA;
1;3;0.086775323;FC1;logdhp*essgroup;AUT;NA;NA;;;;;;NA;
1;3;0.040765467;FC1;logdhp*essgroup;BOJ;NA;NA;;;;;;NA;
1;3;0.440171871;FC1;logdhp*essgroup;EPX;NA;NA;;;;;;NA;
1;3;-0.254267051;FC1;logdhp*essgroup;ERR;NA;NA;;;;;;NA;
1;3;0.173124763;FC1;logdhp*essgroup;ERS;NA;NA;;;;;;NA;
1;3;0.477371445;FC1;logdhp*essgroup;FEN;NA;NA;;;;;;NA;
1;3;-0.72620054;FC1;logdhp*essgroup;FIN;NA;NA;;;;;;NA;
1;3;-0.744326773;FC1;logdhp*essgroup;HEG;NA;NA;;;;;;NA;
1;3;0.241468578;FC1;logdhp*essgroup;RES;NA;NA;;;;;;NA;
1;3;-1.320642307;FC1;logdhp*essgroup;SAB;NA;NA;;;;;;NA;
