Essence_billon;Module;Produit;QualiteABCD;eco;ParameterEstimate;Effet
BOJ;Vol;F1;;;0.081191448;dhpcm_classepetro
BOJ;Vol;F2;;;0.055139614;dhpcm_classepetro
BOJ;Vol;F3;;;0.03852509;dhpcm_classepetro
BOJ;Vol;F4;;;0.078474109;dhpcm_classepetro
BOJ;Vol;P;;;0.069463226;dhpcm_classepetro
BOJ;Vol;DER;;;-0.000460752;dhpcm2_classepetro
BOJ;Vol;F1;;;-0.000519996;dhpcm2_classepetro
BOJ;Vol;F2;;;-0.000264829;dhpcm2_classepetro
BOJ;Vol;F3;;;-0.000154985;dhpcm2_classepetro
BOJ;Vol;F4;;;-0.000568054;dhpcm2_classepetro
BOJ;Vol;P;;;-0.000363253;dhpcm2_classepetro
BOJ;Vol;DER;;3E;0.119568709;classepetro_eco
BOJ;Vol;DER;;3O;0.046270953;classepetro_eco
BOJ;Vol;DER;;4E;-0.067502915;classepetro_eco
BOJ;Vol;DER;;4O_b;0.056887638;classepetro_eco
BOJ;Vol;DER;;4O_c;0;classepetro_eco
BOJ;Vol;F1;;3E;0.016246911;classepetro_eco
BOJ;Vol;F1;;3O;0.05019915;classepetro_eco
BOJ;Vol;F1;;4E;-0.058861475;classepetro_eco
BOJ;Vol;F1;;4O_b;-0.092858379;classepetro_eco
BOJ;Vol;F1;;4O_c;0;classepetro_eco
BOJ;Vol;F2;;3E;0.055859634;classepetro_eco
BOJ;Vol;F2;;3O;0.08960575;classepetro_eco
BOJ;Vol;F2;;4E;-0.02570005;classepetro_eco
BOJ;Vol;F2;;4O_b;0.01056885;classepetro_eco
BOJ;Vol;F2;;4O_c;0;classepetro_eco
BOJ;Vol;F3;;3E;0.02370817;classepetro_eco
BOJ;Vol;F3;;3O;0.04874979;classepetro_eco
BOJ;Vol;F3;;4E;-0.006625455;classepetro_eco
BOJ;Vol;F3;;4O_b;0.05482204;classepetro_eco
BOJ;Vol;F3;;4O_c;0;classepetro_eco
BOJ;Vol;F4;;3E;0.013414122;classepetro_eco
BOJ;Vol;F4;;3O;0.101749402;classepetro_eco
BOJ;Vol;F4;;4E;0.251896515;classepetro_eco
BOJ;Vol;F4;;4O_b;0.452825349;classepetro_eco
BOJ;Vol;F4;;4O_c;0;classepetro_eco
BOJ;Vol;P;;3E;0.132005456;classepetro_eco
BOJ;Vol;P;;3O;0.41626863;classepetro_eco
BOJ;Vol;P;;4E;0.60013029;classepetro_eco
BOJ;Vol;P;;4O_b;0.314908899;classepetro_eco
BOJ;Vol;P;;4O_c;0;classepetro_eco
