Essence_billon;Produit;Cov
BOJ;DER;0.063472535
BOJ;F1;0.048294488
BOJ;F2;0.12893095
BOJ;F3;0.20881632
BOJ;F4;0.265211603
BOJ;P;0.300822382
ERS;F1;0.083804883
ERS;F2;0.171697934
ERS;F3;0.263614992
ERS;F4;0.22966083
ERS;P;0.312126513
