VegPotID;SubModuleID;ParameterEstimate;Veg_Pot;Effect;Ess_groupe;qualite;drainage;vigueur;produit;type_pe;regEco;response;ntrt;mscr
1;2;0.017051562;FC1;dhp0*essgroup;EPX;;;;;;;;;
1;2;-0.019585655;FC1;dhp0*essgroup;ERR;;;;;;;;;
1;2;-0.017065066;FC1;dhp0*essgroup;ERS;;;;;;;;;
1;2;0.003879557;FC1;dhp0*essgroup;FEN;;;;;;;;;
1;2;0.003314372;FC1;dhp0*essgroup;FIN;;;;;;;;;
1;2;-0.021525136;FC1;dhp0*essgroup;HEG;;;;;;;;;
1;2;0.018607645;FC1;dhp0*essgroup;RES;;;;;;;;;
1;2;0;;dhp0*essgroup;SAB;;;;;;;;;
1;2;-0.234092813;;vigu0;;;;NONVIG;;;;;;
1;2;0;FC1;vigu0;;;;ViG;;;;;;
1;2;-0.143030146;FC1;prod0;;;;;pate;;;;;
1;2;0;FC1;prod0;;;;;resineux;;;;;
1;2;0;FC1;prod0;;;;;sciage;;;;;
1;2;-0.064713216;FC1;st_tot0;;;;;;;;;;
1;2;1.626769014;FC1;logdt_aj;;;;;;;;;;
1;2;-0.150953229;FC1;fact_red;;;;;;;;;;
1;2;-0.291796107;FC1;ntrt;;;;;;;;;0;
1;2;-0.146476866;FC1;ntrt;;;;;;;;;1;
1;2;0;FC1;ntrt;;;;;;;;;2;
1;2;-0.262317337;FC1;type_pe;;;;;;type0;;;;
1;2;-0.678468007;FC1;type_pe;;;;;;type1;;;;
1;2;0;FC1;type_pe;;;;;;type2;;;;
1;2;0.341487836;FC1;essgroup*type_pe;AUT;;;;;type0;;;;
1;2;0.616138972;FC1;essgroup*type_pe;AUT;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;AUT;;;;;type2;;;;
1;2;0.23369749;FC1;essgroup*type_pe;BOJ;;;;;type0;;;;
1;2;0.890148921;FC1;essgroup*type_pe;BOJ;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;BOJ;;;;;type2;;;;
1;2;1.0014955;FC1;essgroup*type_pe;EPX;;;;;type0;;;;
1;2;1.033596426;FC1;essgroup*type_pe;EPX;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;EPX;;;;;type2;;;;
1;2;0.497488714;FC1;essgroup*type_pe;ERR;;;;;type0;;;;
1;2;0.92123387;FC1;essgroup*type_pe;ERR;;;;;type1;;;;
1;2;0;FC1;essgroup*type_pe;ERR;;;;;type2;;;;
