Essence_billon;Produit;Cov
BOJ;DER;0.063149847
BOJ;F1;0.049579127
BOJ;F2;0.127234834
BOJ;F3;0.202656391
BOJ;F4;0.251666126
BOJ;P;0.27245149
ERS;F1;0.075973401
ERS;F2;0.161535521
ERS;F3;0.249069731
ERS;F4;0.227078225
ERS;P;0.293784736
